1	dp	gapped	IP-MAT	0	3	og skal af því hina fyrri kvísl með öllum vexti höfuðstafs is rita	firstgrammar	1150	sci	20	og skal af því hina fyrri kvísl með öllum vexti höfuðstafs is rita og þar við hafa hina síðari kvísl af höfuðstafs ui sem áður er þeim í stafrófi skipað	[953690, 22900, 152917, 495194, 27844, 8999, 1, 189194, 113770, 3569, 10, 9, 2, 953690, 92429, 209457, 333588, 27844, 19311, 1, 152917, 0, 1, 432605, 22211, 1083582, 285303, 810646, 2, 3434]	[953690, 22900, 152917, 495194, 27844, 8999, 1, 189194, 113770, 3569, 10, 826, 1990]
0	dp	pro	IP-MAT-SPE	1	2	Ég má full vel lesa danska tungu þó að latínustöfum réttum sé ritað	firstgrammar	1150	sci	21	Nú má verða að því að nokkur svari svo „ Ég má full vel lesa danska tungu þó að latínustöfum réttum sé ritað	[43646, 42274, 140153, 147651, 495194, 896755, 33559, 7908, 71877, 158, 351941, 42274, 31, 39496, 7961, 2683, 1, 32359, 896755, 0, 1, 1083582, 1990]	[351941, 42274, 31, 39496, 7961, 2683, 1, 32359, 896755, 0, 1, 1083582, 1990]
0	dp	gapped	IP-SUB-SPE	0	13	fleiri vega má færa til rétts en einn veg það sem á einn veg er þó ritað og eigi skýrt á kveðið	firstgrammar	1150	sci	26	enda er þá eigi örvænt að þeygi lesi ég vel eða minn maki ef sá finnst eða ráði ég vel að líkindum til hvers hins rétta færa skal ef fleiri vega má færa til rétts en einn veg það sem á einn veg er þó ritað og eigi skýrt á kveðið og skal geta til sem þú lést það vel kunna	[12489, 1083582, 78406, 755, 0, 896755, 1, 7961, 351941, 39496, 87319, 33564, 1, 38860, 147013, 38003, 87319, 10619, 351941, 39496, 147651, 4, 304370, 70660, 27844, 7436, 6704, 22900, 38860, 55717, 1, 42274, 6704, 304370, 7436, 224841, 36927, 35042, 147013, 432605, 631754, 36927, 35042, 1083582, 32359, 1990, 953690, 67566, 1348, 631754, 214, 953690, 22900, 79746, 304370, 432605, 51183, 23362, 495194, 39496, 7064]	[55717, 1, 42274, 6704, 304370, 7436, 224841, 36927, 35042, 147013, 432605, 631754, 36927, 35042, 1083582, 32359, 1990, 953690, 67566, 3421, 631754, 7328]
1	quant	pro	IP-MAT	1	3	Nú mun ég þessa stafi átta alls engi grein er enn á i gjörð different_editions_GJÖR_GJÖRÐ á meðal hinna sömu tveggja samhljóða setja sitt sinn hvern	firstgrammar	1150	sci	29	Nú mun ég þessa stafi átta alls engi grein er enn á i gjörð different_editions_GJÖR_GJÖRÐ á meðal hinna sömu tveggja samhljóða setja sitt sinn hvern en sýna og dæmi gefa hve sitt mál gjöri hver þeirra við hinna sömu stafa fulltingi í hinn sama stað settur hver sem annar og á þann veg svo gefa dæmi of allan þennan bækling á meðal hinna líkustu greina þeirra er á stöfunum verða gjörvar	[43646, 31363, 351941, 200719, 1290, 1461, 113770, 45, 1, 1083582, 17917, 631754, 1, 63, 0, 0, 1, 0, 3, 0, 1, 631754, 15599, 27844, 1, 29037, 2, 24541, 81710, 81710, 70660, 224841, 18484, 953690, 11, 23940, 3601, 81710, 1, 468, 70660, 285303, 209457, 27844, 104, 1290, 3, 810646, 27844, 104, 30643, 24541, 70660, 432605, 94459, 953690, 631754, 147013, 35042, 71877, 23940, 11, 10426, 113770, 200719, 734, 631754, 15599, 27844, 2263, 1, 147013, 4428, 631754, 1290, 140153, 7]	[43646, 31363, 351941, 200719, 1290, 1461, 113770, 45, 1, 1083582, 17917, 631754, 1, 1, 0, 0, 1, 0, 3, 0, 1, 631754, 15599, 27844, 104, 29037, 2, 24541, 81710, 81710, 70660]
1	dp	pro	IP-SUB	1	1	hún má og máli skipta sem ég sýni hér nú eftir	firstgrammar	1150	sci	36	enda verður sú grein svo skýr að hún má og máli skipta sem ég sýni hér nú eftir	[12489, 140153, 147013, 1, 71877, 1787, 896755, 158459, 42274, 953690, 1, 12934, 432605, 351941, 18484, 36997, 43646, 79789]	[158459, 42274, 953690, 1, 12934, 432605, 351941, 18484, 36997, 43646, 79789]
0	dp	dp	IP-SUB	2	2	hið eldra má øra hið ra	firstgrammar	1150	sci	48	spakt skyldi hið elsta barn því að hið eldra má øra hið ra	[59, 22900, 27844, 18136, 28, 495194, 896755, 27844, 18136, 42274, 275, 27844, 1]	[27844, 18136, 42274, 275, 27844, 1]
1	pro	pro	IP-MAT	1	1	Þriggja syna austur mun ég þér sẏna	firstgrammar	1150	sci	50	Þriggja syna austur mun ég þér sẏna	[15749, 1, 1220, 31363, 351941, 351941, 18484]	[15749, 2, 1220, 31363, 351941, 351941, 18484]
0	dp	pro	IP-MAT	1	3	huglan mann vil ég minna hugðra erinda mnna	firstgrammar	1150	sci	67	huglan mann vil ég minna hugðra erinda mnna	[0, 2, 29103, 351941, 10187, 0, 39, 0]	[0, 2, 29103, 351941, 10187, 0, 39, 0]
0	dp	dp	IP-MAT-SPE	2	2	mȯna mín mna kveður barnið við mig gjöra verst hjóna	firstgrammar	1150	sci	69	mȯna mín mna kveður barnið við mig gjöra verst hjóna	[9, 33564, 0, 7328, 28, 209457, 351941, 468, 4557, 30]	[9, 33564, 0, 7328, 28, 209457, 351941, 468, 4557, 30]
1	dp	dp	IP-MAT-SPE	2	1	Rétt kann ræði slíta | ræsis her úr verri |	firstgrammar	1150	sci	70	Vel líkuðu goðrøði góð rǿði Það eru góðar árar sem skáld kvað Rétt kann ræði slíta | ræsis her úr verri |	[39496, 750, 0, 49574, 51, 495194, 1083582, 49574, 11, 432605, 1, 7328, 7436, 7064, 1, 859, 0, 2, 1324, 55520, 1069, 0]	[7436, 7064, 1, 859, 0, 2, 1324, 55520, 1069, 0]
1	dp	dp	IP-SUB-SPE	1	1	ég myndi iarn rita	firstgrammar	1150	sci	80	Nú er eigi örvænt að svo svari nokkur mér „ Þar er orð að þú ritar þar e er flestir menn rita ı þá er hann verður fyrir samhljóðanda settur sem nú er skammt frá því er þú ritaðir earn þar sem ég myndi iarn rita eða svo í mörgum stöðum öðrum “	[43646, 1083582, 67566, 0, 896755, 71877, 7908, 33559, 351941, 158, 92429, 1083582, 22, 896755, 51183, 1990, 92429, 345, 1083582, 55717, 2, 2, 1, 78406, 4428, 285303, 140153, 169606, 4, 24541, 432605, 43646, 1083582, 1338, 89205, 495194, 4428, 51183, 289, 1, 92429, 432605, 351941, 31363, 0, 2, 87319, 71877, 810646, 55717, 30643, 94459, 179]	[351941, 31363, 0, 1990]
1	dp	pro	IP-MAT-SPE	1	1	„ Þú hefir þar rétt fundið	firstgrammar	1150	sci	81	Þá svara ég svo „ Þú hefir þar rétt fundið og þú eigi alls getið þess er þér má ég kynlega þykja ritað hafa	[78406, 7908, 351941, 71877, 158, 51183, 333588, 92429, 9757, 38003, 953690, 51183, 1, 113770, 0, 495194, 4428, 51183, 42274, 351941, 0, 10208, 1990, 333588]	[158, 51183, 333588, 92429, 9757, 38003]
1	dp	pro	IP-MAT	1	2	og má ég af því eigi það mál nú mæla innan í þessu	firstgrammar	1150	sci	84	og má ég af því eigi það mál nú mæla innan í þessu	[953690, 42274, 351941, 152917, 495194, 67566, 147013, 1, 43646, 5309, 11800, 810646, 200719]	[953690, 42274, 351941, 152917, 495194, 67566, 495194, 1, 43646, 5309, 11800, 810646, 200719]
1	quant	pro	IP-MAT-SPE	1	2	en þó mun ég nokkrum orðum fara um þetta hið eina orð er þú skoraðir helst Í “	firstgrammar	1150	sci	85	en þó mun ég nokkrum orðum fara um þetta hið eina orð er þú skoraðir helst Í “	[224841, 32359, 31363, 351941, 33559, 22, 81319, 272090, 200719, 27844, 11434, 22, 4428, 51183, 2336, 223, 810646, 179]	[224841, 32359, 31363, 351941, 33559, 22, 81319, 272090, 200719, 27844, 11434, 22, 1083582, 51183, 2336, 223, 810646, 179]
0	quant	dp	IP-MAT	1	1	Málróf er gefið mörgum	firstgrammar	1150	sci	93	Málróf er gefið mörgum en spekin fám	[1, 1083582, 23940, 55717, 224841, 83, 7]	[1, 1083582, 23940, 55717]
